campaign_id,selected_model,model,n,mae,rmse,wape,mape,bias_me,approx_point_accuracy
GOOGLE_BRAND,baseline_same_weekday,xgboost_p50,32,26922.429102,32021.699716,0.064635,0.066323,15515.910664,0.935365
GOOGLE_BRAND,baseline_same_weekday,baseline_trailing_14d,32,25261.252031,29287.34526,0.060647,0.060547,6088.875047,0.939353
GOOGLE_BRAND,baseline_same_weekday,baseline_same_weekday,32,29723.24475,38301.587314,0.071359,0.070243,2627.089312,0.928641
GOOGLE_BRAND,baseline_same_weekday,selected,32,29723.24475,38301.587314,0.071359,0.070243,2627.089312,0.928641
GOOGLE_NONBRAND,xgboost_quantile,xgboost_p50,35,104380.8138,134813.153614,0.103044,0.114118,84652.367943,0.896956
GOOGLE_NONBRAND,xgboost_quantile,baseline_trailing_14d,35,123497.215579,142836.283944,0.121916,0.123747,-18777.503364,0.878084
GOOGLE_NONBRAND,xgboost_quantile,baseline_same_weekday,35,105069.642643,120050.437461,0.103724,0.105478,-12346.242957,0.896276
GOOGLE_NONBRAND,xgboost_quantile,selected,35,104380.8138,134813.153614,0.103044,0.114118,84652.367943,0.896956
GOOGLE_PMAX,xgboost_quantile,xgboost_p50,35,112549.020114,116552.484694,0.236618,0.234032,-112549.020114,0.763382
GOOGLE_PMAX,xgboost_quantile,baseline_trailing_14d,35,34822.514643,41679.312435,0.073209,0.07342,6968.660886,0.926791
GOOGLE_PMAX,xgboost_quantile,baseline_same_weekday,35,48163.534457,57187.420837,0.101257,0.101415,2752.241229,0.898743
GOOGLE_PMAX,xgboost_quantile,selected,35,112549.020114,116552.484694,0.236618,0.234032,-112549.020114,0.763382
GOOGLE_SHOPPING,baseline_same_weekday,xgboost_p50,35,94419.974671,95701.57989,0.261495,0.263577,94419.974671,0.738505
GOOGLE_SHOPPING,baseline_same_weekday,baseline_trailing_14d,35,14364.400507,19748.214948,0.039782,0.039917,-1114.31345,0.960218
GOOGLE_SHOPPING,baseline_same_weekday,baseline_same_weekday,35,18735.8173,23522.367287,0.051889,0.052476,-543.011329,0.948111
GOOGLE_SHOPPING,baseline_same_weekday,selected,35,18735.8173,23522.367287,0.051889,0.052476,-543.011329,0.948111
META_ADV_SHOPPING,baseline_trailing_14d,xgboost_p50,28,55905.073607,66553.960927,0.13224,0.141654,51313.669125,0.86776
META_ADV_SHOPPING,baseline_trailing_14d,baseline_trailing_14d,28,45312.505,55903.981455,0.107184,0.108843,7859.418714,0.892816
META_ADV_SHOPPING,baseline_trailing_14d,baseline_same_weekday,28,50186.728286,59571.019317,0.118714,0.120912,12078.956286,0.881286
META_ADV_SHOPPING,baseline_trailing_14d,selected,28,45312.505,55903.981455,0.107184,0.108843,7859.418714,0.892816
META_PROSPECTING,xgboost_quantile,xgboost_p50,35,42244.984814,48181.325939,0.078687,0.080085,-5522.450214,0.921313
META_PROSPECTING,xgboost_quantile,baseline_trailing_14d,35,39541.152114,48474.144118,0.073651,0.0765,18281.718514,0.926349
META_PROSPECTING,xgboost_quantile,baseline_same_weekday,35,45017.2208,55633.246995,0.083851,0.086181,13218.616914,0.916149
META_PROSPECTING,xgboost_quantile,selected,35,42244.984814,48181.325939,0.078687,0.080085,-5522.450214,0.921313
META_RETARGETING,xgboost_quantile,xgboost_p50,35,63427.558714,69243.150654,0.117121,0.120005,63427.558714,0.882879
META_RETARGETING,xgboost_quantile,baseline_trailing_14d,35,24757.42335,30519.496157,0.045716,0.046995,18717.26705,0.954284
META_RETARGETING,xgboost_quantile,baseline_same_weekday,35,33784.6126,39743.158528,0.062385,0.063615,15337.216,0.937615
META_RETARGETING,xgboost_quantile,selected,35,63427.558714,69243.150654,0.117121,0.120005,63427.558714,0.882879
